id1,id2,FieldOfStudyName1,FieldOfStudyName2,distance
terms2,terms96,bio,comp,0.1649242258559408
terms2,terms97,bio,comp,0.21633307789167608
terms2,terms98,bio,comp,0.1421267063630603
terms2,terms99,bio,comp,0.17720045086963954
terms2,terms100,bio,comp,0.18357560081055035
terms2,terms101,bio,soc,0.4438468163779258
terms2,terms102,bio,soc,0.4401136184158986
terms2,terms103,bio,soc,0.4810405548751821
terms2,terms104,bio,soc,0.4071854649541946
terms2,terms105,bio,soc,0.45276926859033256
terms2,terms106,bio,soc,0.5239274664262475
terms2,terms107,bio,soc,0.45541190773207124
terms2,terms108,bio,soc,0.5147815063256856
terms2,terms109,bio,soc,0.4215447925612483
terms2,terms110,bio,soc,0.233238079844324
terms2,terms111,bio,soc,0.2983286795017854
terms2,terms112,bio,soc,0.5371219682916418
terms2,terms113,bio,soc,0.3996248275662797
terms2,terms114,bio,soc,0.30528675509622283
terms2,terms115,bio,soc,0.45221676916949066
terms2,terms116,bio,soc,0.44944411673387874
terms2,terms117,bio,soc,0.43046486848995485
terms2,terms118,bio,soc,0.4070626602793386
terms2,terms119,bio,soc,0.4438468163779258
terms2,terms120,bio,soc,0.3224903110408989
terms2,terms121,bio,soc,0.32310988535661567
terms2,terms122,bio,soc,0.456508493068695
terms2,terms123,bio,soc,0.3361547280747276
terms2,terms124,bio,soc,0.43566042053484444
terms2,terms125,bio,soc,0.44045431442936456
terms2,terms126,bio,soc,0.42047591639563525
terms2,terms127,bio,soc,0.31890437093365254
terms2,terms128,bio,soc,0.46324941010445353
terms2,terms129,bio,soc,0.38483762273893984
terms2,terms130,bio,soc,0.5199999912427022
terms2,terms131,bio,soc,0.19924859287909039
terms2,terms132,bio,soc,0.38897301105847903
terms2,terms133,bio,soc,0.524785683722602
terms2,terms134,bio,soc,0.5636488159285012
terms2,terms135,bio,soc,0.46010868706216
terms2,terms136,bio,soc,0.46529560125035635
terms2,terms137,bio,soc,0.35510561429787346
terms2,terms138,bio,soc,0.32310988535661567
terms2,terms139,bio,soc,0.29681644167344184
terms2,terms140,bio,soc,0.38897301105847903
terms2,terms141,bio,soc,0.3584689684908679
terms2,terms142,bio,soc,0.38418744856767517
terms2,terms143,bio,soc,0.4031128918507553
terms2,terms144,bio,soc,0.4992995210952612
terms2,terms145,bio,soc,0.49678968568037013
terms2,terms146,bio,soc,0.5147815063256856
terms2,terms147,bio,soc,0.46065170947578254
terms2,terms148,bio,soc,0.4465422751863422
terms2,terms149,bio,soc,0.48332183800652895
terms2,terms150,bio,soc,0.35468295497334923
terms2,terms151,bio,phy,0.10440306293392436
terms2,terms152,bio,phy,0.14866068778391692
terms2,terms153,bio,phy,0.0806225782222903
terms2,terms154,bio,phy,0.1216552503364935
terms2,terms155,bio,phy,0.24698177895491133
terms2,terms156,bio,phy,0.23600847775150455
terms2,terms157,bio,phy,0.10630146118323418
terms2,terms158,bio,phy,0.10999999940395355
terms2,terms159,bio,phy,0.050000002980232244
terms2,terms160,bio,phy,0.23706539406658012
terms2,terms161,bio,phy,0.12041594541668085
terms2,terms162,bio,phy,0.1345362425862428
terms2,terms163,bio,phy,0.17029386532181404
terms2,terms164,bio,phy,0.13601470355357723
terms2,terms165,bio,phy,0.07280109803313589
terms2,terms166,bio,phy,0.18248287458608936
terms2,terms167,bio,phy,0.16552945572397534
terms2,terms168,bio,phy,0.11661903976244156
terms2,terms169,bio,phy,0.11045360938940173
terms2,terms170,bio,phy,0.12369316645553
terms2,terms171,bio,phy,0.022360678442198516
terms2,terms172,bio,phy,0.0640312394886372
terms2,terms173,bio,phy,0.07280109803313589
terms2,terms174,bio,phy,0.1720465086407408
terms2,terms175,bio,phy,0.042426403288711056
terms2,terms176,bio,phy,0.1886796245444536
terms2,terms177,bio,phy,0.14866068678155625
terms2,terms178,bio,phy,0.03999999165534973
terms2,terms179,bio,phy,0.0943398137530268
terms2,terms180,bio,phy,0.12165524911162562
terms2,terms181,bio,phy,0.11999999918043613
terms2,terms182,bio,phy,0.04123105849689541
terms2,terms183,bio,phy,0.09848857903166015
terms2,terms184,bio,phy,0.1664331706393967
terms2,terms185,bio,phy,0.16763054539570196
terms2,terms186,bio,phy,0.10049875637430836
terms2,terms187,bio,phy,0.05830952211730793
terms2,terms188,bio,phy,0.06082762486203
terms2,terms189,bio,phy,0.04999999403953588
terms2,terms190,bio,phy,0.14866068828509713
terms2,terms191,bio,phy,0.08246211518675957
terms2,terms192,bio,phy,0.245967477858177
terms2,terms193,bio,phy,0.13453624286314145
terms2,terms194,bio,phy,0.0806225782222903
terms2,terms195,bio,phy,0.12041594479794371
terms2,terms196,bio,phy,0.04999999552965184
terms2,terms197,bio,phy,0.08602325637738736
terms2,terms198,bio,phy,0.21470910984567992
terms2,terms199,bio,phy,0.12206554717261198
terms2,terms200,bio,phy,0.07280109086922415
terms3,terms51,bio,comp,0.24758836907391069
terms3,terms52,bio,comp,0.13601470725107587
terms3,terms53,bio,comp,0.3383784963101634
terms3,terms54,bio,comp,0.19416488393045667
terms3,terms55,bio,comp,0.2459674770251767
terms3,terms56,bio,comp,0.20518284732756115
terms3,terms57,bio,comp,0.297321376069014
terms3,terms58,bio,comp,0.19798989957517027
terms3,terms59,bio,comp,0.17000000288381295
terms3,terms60,bio,comp,0.15132746215304904
terms3,terms61,bio,comp,0.08485281711413359
terms3,terms62,bio,comp,0.22627417019042945
terms3,terms63,bio,comp,0.13453624272469208
terms3,terms64,bio,comp,0.325576412654291
terms3,terms65,bio,comp,0.33615472641241706
terms3,terms66,bio,comp,0.35846896204768813
terms3,terms67,bio,comp,0.28319604923222236
terms3,terms68,bio,comp,0.2500000037252903
terms3,terms69,bio,comp,0.32756679539883865
terms3,terms70,bio,comp,0.2523885903570173
terms3,terms71,bio,comp,0.3492849844434024
terms3,terms72,bio,comp,0.23409399775607936
terms3,terms73,bio,comp,0.20000000074505805
terms3,terms74,bio,comp,0.36796739732692124
terms3,terms75,bio,comp,0.36769552326672533
terms3,terms76,bio,comp,0.21633307685846645
terms3,terms77,bio,comp,0.34409301944676257
terms3,terms78,bio,comp,0.19209372951997097
terms3,terms79,bio,comp,0.21095023150345996
terms3,terms80,bio,comp,0.23706539320229972
terms3,terms81,bio,comp,0.16124515644458026
terms3,terms82,bio,comp,0.22847319467273025
terms3,terms83,bio,comp,0.09848857922078309
terms3,terms84,bio,comp,0.31622776413197357
terms3,terms85,bio,comp,0.3041381262699374
terms3,terms86,bio,comp,0.2385372117829407
terms3,terms87,bio,comp,0.35777087673316643
terms3,terms88,bio,comp,0.19697715655033657
terms3,terms89,bio,comp,0.20808652252922794
terms3,terms90,bio,comp,0.24207437409974297
terms3,terms91,bio,comp,0.3534119421599773
terms3,terms92,bio,comp,0.21023796572856218
terms3,terms93,bio,comp,0.2773084996454848
terms3,terms94,bio,comp,0.17088007588301807
terms3,terms95,bio,comp,0.2009975149726979
terms3,terms96,bio,comp,0.1581138853644994
terms3,terms97,bio,comp,0.2140093475085936
terms3,terms98,bio,comp,0.1442220529609937
terms3,terms99,bio,comp,0.17088007588301807
terms3,terms100,bio,comp,0.18788294472333442
terms3,terms101,bio,soc,0.4494440958464502
terms3,terms102,bio,soc,0.4459820578387673
terms3,terms103,bio,soc,0.48703184144293515
terms3,terms104,bio,soc,0.41231056509160974
terms3,terms105,bio,soc,0.4565084995970123
terms3,terms106,bio,soc,0.5292447341574542
terms3,terms107,bio,soc,0.4617358602332295
terms3,terms108,bio,soc,0.5199999981201612
terms3,terms109,bio,soc,0.4272002006078514
terms3,terms110,bio,soc,0.23021729330855373
terms3,terms111,bio,soc,0.30000000149011613
terms3,terms112,bio,soc,0.5423098817337647
terms3,terms113,bio,soc,0.40311289018731983
terms3,terms114,bio,soc,0.3088689081808174
terms3,terms115,bio,soc,0.45486262295749164
terms3,terms116,bio,soc,0.45541191599391767
terms3,terms117,bio,soc,0.43416586970187804
terms3,terms118,bio,soc,0.41146082308615534
terms3,terms119,bio,soc,0.4494440958464502
terms3,terms120,bio,soc,0.32649655457905197
terms3,terms121,bio,soc,0.3289376797168226
terms3,terms122,bio,soc,0.46065171610712236
terms3,terms123,bio,soc,0.3417601504579994
terms3,terms124,bio,soc,0.4390899697259754
terms3,terms125,bio,soc,0.44204072528822413
terms3,terms126,bio,soc,0.42544094215464356
terms3,terms127,bio,soc,0.3182766060637848
terms3,terms128,bio,soc,0.4707441075888639
terms3,terms129,bio,soc,0.3899999934320267
terms3,terms130,bio,soc,0.5255473236222705
terms3,terms131,bio,soc,0.20615528435283612
terms3,terms132,bio,soc,0.39560081182567175
terms3,terms133,bio,soc,0.5283938052691459
terms3,terms134,bio,soc,0.5685947470775479
terms3,terms135,bio,soc,0.46097722690528903
terms3,terms136,bio,soc,0.46957427061015455
terms3,terms137,bio,soc,0.35846896204768813
terms3,terms138,bio,soc,0.3289376797168226
terms3,terms139,bio,soc,0.3001666197060355
terms3,terms140,bio,soc,0.39560081182567175
terms3,terms141,bio,soc,0.3623534197419727
terms3,terms142,bio,soc,0.38600517529022554
terms3,terms143,bio,soc,0.4085339676318618
terms3,terms144,bio,soc,0.502493792472996
terms3,terms145,bio,soc,0.49819673976482287
terms3,terms146,bio,soc,0.5199999981201612
terms3,terms147,bio,soc,0.4651881301534276
terms3,terms148,bio,soc,0.4494441044666588
terms3,terms149,bio,soc,0.48846698752517204
terms3,terms150,bio,soc,0.3605551242401281
terms3,terms151,bio,phy,0.09219544534065147
terms3,terms152,bio,phy,0.1431782123760068
terms3,terms153,bio,phy,0.07280110187094566
terms3,terms154,bio,phy,0.11401754404554279
terms3,terms155,bio,phy,0.24166091900326447
terms3,terms156,bio,phy,0.2385372117829407
terms3,terms157,bio,phy,0.1081665410122573
terms3,terms158,bio,phy,0.10049875748634896
terms3,terms159,bio,phy,0.053851649980627664
terms3,terms160,bio,phy,0.23323807888600098
terms3,terms161,bio,phy,0.11180340070759004
terms3,terms162,bio,phy,0.13453624272469208
terms3,terms163,bio,phy,0.17204650669198787
terms3,terms164,bio,phy,0.12206555754899281
terms3,terms165,bio,phy,0.06082762731176561
terms3,terms166,bio,phy,0.17117242897462895
terms3,terms167,bio,phy,0.17088007588301807
terms3,terms168,bio,phy,0.11401754518909629
terms3,terms169,bio,phy,0.10000000149011612
terms3,terms170,bio,phy,0.11180339937478971
terms3,terms171,bio,phy,0.03605550936571284
terms3,terms172,bio,phy,0.050000000000000024
terms3,terms173,bio,phy,0.06082762731176561
terms3,terms174,bio,phy,0.17492855964366225
terms3,terms175,bio,phy,0.028284270615259663
terms3,terms176,bio,phy,0.1860107549288588
terms3,terms177,bio,phy,0.13453624272469208
terms3,terms178,bio,phy,0.03162277000465851
terms3,terms179,bio,phy,0.09219544776503814
terms3,terms180,bio,phy,0.11045361124439738
terms3,terms181,bio,phy,0.11045361124439738
terms3,terms182,bio,phy,0.05000000074505806
terms3,terms183,bio,phy,0.09433981335814674
terms3,terms184,bio,phy,0.1526433788903968
terms3,terms185,bio,phy,0.15524174889193526
terms3,terms186,bio,phy,0.09219544695690926
terms3,terms187,bio,phy,0.05656854649887441
terms3,terms188,bio,phy,0.053851649980627664
terms3,terms189,bio,phy,0.03605550936571284
terms3,terms190,bio,phy,0.13601470848357544
terms3,terms191,bio,phy,0.09055385285414858
terms3,terms192,bio,phy,0.2418677337427396
terms3,terms193,bio,phy,0.13601470725107587
terms3,terms194,bio,phy,0.07280110187094566
terms3,terms195,bio,phy,0.1100000012665987
terms3,terms196,bio,phy,0.0360555114321318
terms3,terms197,bio,phy,0.08944272209879245
terms3,terms198,bio,phy,0.2193171254155656
terms3,terms199,bio,phy,0.12529963137126449
